Index	Sentence	Entity	Entity_Startindex	Entity_Stopindex	Entity_Info
PMC4940519_OgerInput.txtOger_out.csv:65	The XTT-test was carried according to the protocol of Scudiero et al.. The activity of cytochrome P450 1A2 was determined by means of O-demethylation of 7-ethoxyresorufine to resorufin. 	cytochrome P450	9944	9959	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_344', 'CUI-less')
PMC4940519_OgerInput.txtOger_out.csv:65	The XTT-test was carried according to the protocol of Scudiero et al.. The activity of cytochrome P450 1A2 was determined by means of O-demethylation of 7-ethoxyresorufine to resorufin. 	cytochrome P450	9944	9959	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_352', 'CUI-less')
PMC5116318_OgerInput.txtOger_out.csv:24	Moreover, liver cells show a high level of cytochrome P450 activity and often are the main site of metabolic transformation. 	cytochrome P450	3857	3872	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_344', 'CUI-less')
PMC5116318_OgerInput.txtOger_out.csv:24	Moreover, liver cells show a high level of cytochrome P450 activity and often are the main site of metabolic transformation. 	cytochrome P450	3857	3872	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_352', 'CUI-less')
PMC5116318_OgerInput.txtOger_out.csv:33	The results obtained will allow predicting metabolic pathways of target compounds in patients differing in the level of cytochrome P450 isoenzymes and, in turn, can probably be helpful in designing personalized antibacterial treatments including these drugs. 	cytochrome P450	5410	5425	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_344', 'CUI-less')
PMC5116318_OgerInput.txtOger_out.csv:33	The results obtained will allow predicting metabolic pathways of target compounds in patients differing in the level of cytochrome P450 isoenzymes and, in turn, can probably be helpful in designing personalized antibacterial treatments including these drugs. 	cytochrome P450	5410	5425	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_352', 'CUI-less')
PMC5116318_OgerInput.txtOger_out.csv:80	This is in agreement with the general knowledge that this group of cytochrome P450 isoenzymes participates in metabolism of numerous drugs. 	cytochrome P450	12319	12334	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_344', 'CUI-less')
PMC5116318_OgerInput.txtOger_out.csv:80	This is in agreement with the general knowledge that this group of cytochrome P450 isoenzymes participates in metabolism of numerous drugs. 	cytochrome P450	12319	12334	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_352', 'CUI-less')
PMC5116318_OgerInput.txtOger_out.csv:146	Besides cytochrome P450, other important elements of microsomal fraction of liver cells include flavin monooxigenase (FMO) and glucuronosyltransferase (UDP). 	cytochrome P450	22332	22347	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_344', 'CUI-less')
PMC5116318_OgerInput.txtOger_out.csv:146	Besides cytochrome P450, other important elements of microsomal fraction of liver cells include flavin monooxigenase (FMO) and glucuronosyltransferase (UDP). 	cytochrome P450	22332	22347	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_352', 'CUI-less')
